OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::neg;                                                           YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::neg.out;                                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::neg_;                                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::negative;                                                      NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::negative.out;                                                  NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::negative_;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nested_to_padded_tensor;                                       NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::new_empty;                                                     NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_empty.out;                                                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_empty_strided;                                             NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_empty_strided.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_full;                                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_full.out;                                                  NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_ones;                                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_ones.out;                                                  NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_zeros;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::new_zeros.out;                                                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::nextafter;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nextafter.out;                                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::nextafter_;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::nll_loss;                                                      NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
